latin-name	trivial-name	ensembl-core-db	ensembl-mart-db	ensembl-compara-db ensembl-gene	ncbi-id
Homo sapiens	human	homo_sapiens	hsapiens	H.sap		9606
Mus musculus	mouse	mus_musculus	mmusculus	M.mus	MUS	10090
Rattus norvegicus	rat	rattus_norvegivus	rnorvegicus	R.nor	RNO	10116
Canis familiaris	dog	canis_familiaris	cfamiliaris	C.fam	CAF	9615
Danio rerio	zebrafish	danio_rerio	drerio	D.rer	DAR	7955
Bos taurus	cow	bos_taurus	btaurus	B.tau	BTA	9913
Felis catus	cat	felis_catus	fcatus	F.cat	FCA	9685
Pan troglodytes	chimp	pan_troglodytes	ptroglodytes	P.tro	PTR	9598
#Gasterosteus aculeatus	three spined stickleback			GAC	69293
#Xenopus tropicalis
#Tupaia belangeri 
#Takifugu rubripes
#Spermophilus tridecemlineatus
#Sorex araneus
#Otolemur garnettii
#Oryzias latipes
#Oryctolagus cuniculus
#Ornithorhynchus anatinus
#Ochotona princeps
#Myotis lucifugus
#Monodelphis domestica
#Microcebus murinus
#Macaca mulatta 
#Loxodonta africana
Gallus gallus	chicken	gallus_gallus	ggallus	G.gal	GAL	9031
#Erinaceus europaeus
#Echinops telfairi 
#Dasypus novemcinctus 
#Cavia porcellus			C.por
#Caenorhabditis elegans
#Anopheles gambiae	moskito			A.gam	ANG	7165
